Sep 04 17:54:32.515 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Games (TOSEC-v2023-10-03_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Games (TOSEC-v2023-10-03_CM).dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.558 INFO GCE_VECTREX: dats\GCE_VECTREX\OpenVECT.dat, path: dats\GCE_VECTREX\OpenVECT.dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.572 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Applications (TOSEC-v2011-02-22_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Applications (TOSEC-v2011-02-22_CM).dat, platform_id: MAGNAVOX_O2
Sep 04 17:54:32.573 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Educational (TOSEC-v2011-02-22_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Educational (TOSEC-v2011-02-22_CM).dat, platform_id: MAGNAVOX_O2
Sep 04 17:54:32.574 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Firmware (TOSEC-v2011-02-22_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Firmware (TOSEC-v2011-02-22_CM).dat, platform_id: MAGNAVOX_O2
Sep 04 17:54:32.583 INFO MAGNAVOX_O2: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Games (TOSEC-v2021-07-25_CM).dat, path: dats\MAGNAVOX_O2\Magnavox Odyssey2 - Games (TOSEC-v2021-07-25_CM).dat, platform_id: MAGNAVOX_O2
Sep 04 17:54:32.594 INFO MATTEL_INT: dats\MATTEL_INT\Mattel - Intellivision (20260811-144508).dat, path: dats\MATTEL_INT\Mattel - Intellivision (20260811-144508).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.603 INFO MATTEL_INT: dats\MATTEL_INT\Mattel - Intellivision (Private) (20260811-144508).dat, path: dats\MATTEL_INT\Mattel - Intellivision (Private) (20260811-144508).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.604 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Applications (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Applications (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.608 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Demos - [BIN] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Demos - [BIN] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.610 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Demos - [Multipart] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Demos - [Multipart] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.612 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Educational (TOSEC-v2021-07-25_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Educational (TOSEC-v2021-07-25_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.613 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Firmware - [BIN] (TOSEC-v2021-07-25_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Firmware - [BIN] (TOSEC-v2021-07-25_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.614 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Firmware - [Multipart] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Firmware - [Multipart] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.630 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Games - [BIN] (TOSEC-v2023-10-03_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Games - [BIN] (TOSEC-v2023-10-03_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.645 INFO MATTEL_INT: dats\MATTEL_INT\Mattel Intellivision - Games - [Multipart] (TOSEC-v2018-07-01_CM).dat, path: dats\MATTEL_INT\Mattel Intellivision - Games - [Multipart] (TOSEC-v2018-07-01_CM).dat, platform_id: MATTEL_INT
Sep 04 17:54:32.673 INFO MATTEL_INT: dats\MATTEL_INT\OpenINTV.dat, path: dats\MATTEL_INT\OpenINTV.dat, platform_id: MATTEL_INT
Sep 04 17:54:32.736 INFO MICROSOFT_X360: dats\MICROSOFT_X360\Non-Redump - Microsoft - Xbox 360 (20260525-160908).dat, path: dats\MICROSOFT_X360\Non-Redump - Microsoft - Xbox 360 (20260525-160908).dat, platform_id: MICROSOFT_X360
Sep 04 17:54:32.790 INFO MICROSOFT_XBOX: dats\MICROSOFT_XBOX\Non-Redump - Microsoft - Xbox (20251215-001810).dat, path: dats\MICROSOFT_XBOX\Non-Redump - Microsoft - Xbox (20251215-001810).dat, platform_id: MICROSOFT_XBOX
Sep 04 17:54:32.791 INFO NEC_PCFX: dats\NEC_PCFX\NEC PC-FX - Firmware (TOSEC-v2012-07-13_CM).dat, path: dats\NEC_PCFX\NEC PC-FX - Firmware (TOSEC-v2012-07-13_CM).dat, platform_id: NEC_PCFX
Sep 04 17:54:32.800 INFO NEC_PCFX: dats\NEC_PCFX\NEC PC-FX - Games (TOSEC-v2012-07-14_CM).dat, path: dats\NEC_PCFX\NEC PC-FX - Games (TOSEC-v2012-07-14_CM).dat, platform_id: NEC_PCFX
Sep 04 17:54:32.805 INFO NEC_PCFX: dats\NEC_PCFX\NEC PC-FXGA - Firmware (TOSEC-v2012-07-13_CM).dat, path: dats\NEC_PCFX\NEC PC-FXGA - Firmware (TOSEC-v2012-07-13_CM).dat, platform_id: NEC_PCFX
Sep 04 17:54:32.806 INFO NEC_PCFX: dats\NEC_PCFX\NEC PC-FXGA - Games (TOSEC-v2012-07-13_CM).dat, path: dats\NEC_PCFX\NEC PC-FXGA - Games (TOSEC-v2012-07-13_CM).dat, platform_id: NEC_PCFX
Sep 04 17:54:32.806 INFO NEC_SGFX: dats\NEC_SGFX\NEC - PC Engine SuperGrafx (20250913-112105).dat, path: dats\NEC_SGFX\NEC - PC Engine SuperGrafx (20250913-112105).dat, platform_id: NEC_SGFX
Sep 04 17:54:32.808 INFO NEC_SGFX: dats\NEC_SGFX\NEC SuperGrafx - Games (TOSEC-v2021-12-11_CM).dat, path: dats\NEC_SGFX\NEC SuperGrafx - Games (TOSEC-v2021-12-11_CM).dat, platform_id: NEC_SGFX
